generation,AlwaysCooperate,AlwaysDefect,TitForTat,RandomStrategy,Grudger
1,20,20,20,20,20
2,0,58,12,16,14
3,0,45,14,21,20
4,0,22,14,13,51
5,0,3,14,14,69
6,0,0,13,0,87
7,0,0,13,0,87
8,0,0,13,0,87
9,0,0,13,0,87
10,0,0,13,0,87
11,0,0,13,0,87
12,0,0,13,0,87
13,0,0,13,0,87
14,0,0,13,0,87
15,0,0,13,0,87
