generation,AlwaysCooperate,AlwaysDefect,TitForTat,RandomStrategy,Grudger
1,24.0,22.666666666666668,25.5,19.833333333333332,25.0
2,23.4,20.266666666666666,25.451612903225808,20.17241379310345,26.633333333333333
3,23.8,21.066666666666666,25.64516129032258,20.285714285714285,25.93548387096774
4,24.4,19.733333333333334,26.096774193548388,23.59259259259259,26.78125
5,24.8,20.482758620689655,26.64516129032258,21.333333333333332,27.393939393939394
6,26.2,21.285714285714285,27.64516129032258,20.88888888888889,27.852941176470587
7,26.5,19.714285714285715,27.64516129032258,22.307692307692307,27.942857142857143
8,27.8,20.37037037037037,28.258064516129032,18.73076923076923,28.583333333333332
9,28.0,20.074074074074073,28.64516129032258,0.0,28.864864864864863
10,29.0,20.615384615384617,29.322580645161292,0.0,29.44736842105263
