generation,AlwaysCooperate,AlwaysDefect,TitForTat,RandomStrategy,Grudger
1,20,20,20,20,20
2,0,26,20,28,26
3,0,13,27,15,45
4,0,10,33,15,42
5,0,0,14,9,77
6,0,0,34,8,58
7,0,0,59,0,41
8,0,0,61,0,39
9,0,0,72,0,28
10,0,0,72,0,28
11,0,0,36,0,64
12,0,0,38,0,62
13,0,0,36,0,64
14,0,0,75,0,25
15,0,0,98,0,2
