generation,AlwaysCooperate,AlwaysDefect,TitForTat,RandomStrategy,Grudger,GenerousTitForTat,TitForTwoTats,Forgiver
1,15,15,15,15,15,15,15,15
2,5,11,18,22,20,14,14,16
3,2,5,22,33,26,0,12,20
4,0,3,29,20,34,0,5,29
5,0,0,30,11,44,0,2,33
6,0,0,40,0,50,0,1,29
7,0,0,70,0,0,0,1,49
8,0,0,72,0,0,0,0,48
9,0,0,45,0,0,0,0,75
10,0,0,50,0,0,0,0,70
11,0,0,55,0,0,0,0,65
12,0,0,65,0,0,0,0,55
13,0,0,81,0,0,0,0,39
14,0,0,89,0,0,0,0,31
15,0,0,68,0,0,0,0,52
