generation,AlwaysCooperate,AlwaysDefect,TitForTat,RandomStrategy,Grudger
1,19.833333333333332,28.0,26.333333333333332,28.5,28.166666666666668
2,0.0,19.88888888888889,24.05,20.109375,25.92063492063492
3,0.0,20.831858407079647,23.03937007874016,21.895652173913042,21.55862068965517
4,0.0,18.418181818181818,21.195488721804512,22.17391304347826,28.3943661971831
5,0.0,0.0,29.850877192982455,22.28440366972477,21.581920903954803
6,0.0,0.0,32.08955223880597,21.37037037037037,26.79746835443038
7,0.0,0.0,29.22641509433962,0.0,28.74468085106383
8,0.0,0.0,29.683229813664596,0.0,27.366906474820144
9,0.0,0.0,30.0,0.0,30.0
10,0.0,0.0,21.627906976744185,0.0,30.4375
11,0.0,0.0,18.794117647058822,0.0,18.390243902439025
12,0.0,0.0,30.0,0.0,30.382716049382715
13,0.0,0.0,30.470588235294116,0.0,22.024390243902438
14,0.0,0.0,30.714285714285715,0.0,24.6
15,0.0,0.0,29.78787878787879,0.0,16.54901960784314
